crop,crop_label,functional_form,intercept,adaptation_factor,bootstrap_se,ci95_low,ci95_high,bootstrap_p_value,weighted_r2,municipalities,max_weight_share,top_one_percent_weight_share,leave_most_precise_out_factor,capped_weight_factor
corn,Corn,Logarithmic,-0.0235180348967309,0.0230484028722829,0.00924556505046592,0.00685645924366604,0.0441923028943975,0.01,0.00415680519463402,3885,0.779969237096379,0.919537916040445,0.0240621775346256,0.0334738909832506
rice,Rice,Logarithmic,-0.0413033095772049,0.0554802364661311,0.0192685521833594,0.0192112268299829,0.0936466753343979,0.012,0.00416461363387277,2782,0.0451697029857885,0.549651693162298,0.0570672876860736,0.0494162946908157
cassava,Cassava,Logarithmic,-0.00342835184429737,0.00487274053732532,0.00650454136821417,0.00220517526746644,0.0263972650917946,0.004,0.00111639668697339,3521,0.990610532907815,0.998131728079126,0.0100865922051253,0.0295111630490373
beans,Beans,Logarithmic,-0.00569148149372118,-0.00457215158224279,0.0169535141526025,-0.0274893565479757,0.0388603465191598,0.964,0.000135230809034437,3696,0.672087229776091,0.845375925733271,0.0136033131624171,0.0416364431418561
soy,Soybeans,Logarithmic,0.0181217645988376,-0.0122724021918709,0.321755525945586,-0.434294425335865,0.84360107000484,0.972,0.00000455986738556735,322,0.289846373814714,0.667020547446091,-0.0771922132221598,-0.0670185797920195
sugarcane,Sugarcane,Logarithmic,-0.00113962387471608,0.0438838063841925,0.0169811460508656,0.0120398899764657,0.0796273207711778,0.008,0.00751190410691172,2447,0.160663190834084,0.594685321237479,0.0432060402685465,0.052638788891729
