Model,estimate,se,p,observations,specification
Year FE,-0.0661770986265081,0.0170628214048115,0.000105189289401107,111934,Year FE
Weather,-0.0649264553045596,0.0160604080638626,0.0000528879629286853,111934,Weather
Weather + soil/topography,-0.0632397127891469,0.0140355110907811,0.00000662233246871241,111934,Weather + soil/topography
